fixture_id,league_id,league_name,home_team_id,home_team_name,away_team_id,away_team_name,goals_half_time_home,goals_half_time_away,goals_full_time_home,goals_full_time_away,goals_extra_time_home,goals_extra_time_away,goals_penalty_home,goals_penalty_away,league_round,expected_goals_home,shots_on_goal_home,shots_off_goal_home,shots_insidebox_home,shots_outsidebox_home,total_shots_home,blocked_shots_home,fouls_home,corner_kicks_home,offsides_home,ball_possession_home,yellow_cards_home,red_cards_home,goalkeeper_saves_home,total_passes_home,passes_accurate_home,passes_percentage_home,expected_goals_away,shots_on_goal_away,shots_off_goal_away,shots_insidebox_away,shots_outsidebox_away,total_shots_away,blocked_shots_away,fouls_away,corner_kicks_away,offsides_away,ball_possession_away,yellow_cards_away,red_cards_away,goalkeeper_saves_away,total_passes_away,passes_accurate_away,passes_percentage_away,formation_home,formation_away,start_xi_home,substitutions_home,coach_home_team,start_xi_away,substitutions_away,coach_away_team
710773,39,Premier League,47,Tottenham,42,Arsenal,2,0,3,0,,,,,Regular Season - 22,,6.0,5.0,14.0,2.0,16.0,5.0,8.0,2.0,1.0,0.58,1.0,0.0,4.0,561.0,502.0,0.89,,4.0,2.0,3.0,5.0,8.0,2.0,15.0,2.0,0.0,0.42,5.0,1.0,3.0,412.0,352.0,0.85,3-4-2-1,4-2-3-1,"['159', '164', '168', '1566', '186', '2735', '175', '863', '19032', '30435', '184']","['178', '244', '19321', '30418', '273757', '138793', '162552', '162493', '182']",,"['20355', '190', '1440', '2597', '22224', '1464', '1452', '37127', '1468', '1460', '127769']","['1161', '1467', '41577', '19959', '138783', '1438', '284466', '3246', '1427']",
194171,39,Premier League,60,West Brom,66,Aston Villa,0,0,0,0,,,,,Regular Season - 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['18791', '19548', '19417', '19660', '1742', '87873', '44789', '19154', '1750', '29433', '18956']","['18462', '114877', '114886', '114829', '20349', '114839', '19147']",,"['90516', '19178', '114757', '82340', '111312', '18891', '19413', '114752', '60154', '114851', '82435']","['19527', '20113', '19722', '90492', '50869', '19387', '19283']",
192943,39,Premier League,40,Liverpool,50,Manchester City,1,1,2,1,,,,,Regular Season - 27,,5.0,5.0,,,,,8.0,3.0,3.0,0.48,1.0,0.0,0.0,,,,,2.0,8.0,,,,,15.0,0.0,6.0,0.52,3.0,0.0,3.0,,,,,,"['282', '1350', '287', '288', '295', '19502', '292', '147', '864', '645', '19028']","['308', '104129', '83027', '1648', '1917', '20236', '18146']",,"['18908', '621', '18818', '771', '90498', '18825', '634', '90493', '640', '642', '790']","['296', '42246', '105426', '452', '2275', '49840', '104837']",
194553,39,Premier League,68,Bolton,54,Birmingham,0,1,2,2,,,,,Regular Season - 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['114765', '114867', '114884', '2281', '82001', '114864', '115951', '114848', '2905', '100187', '114856']","['44827', '114885', '87928', '115966', '17727', '2278', '87916']",,"['18791', '19417', '115936', '18357', '18839', '115973', '115940', '19526', '2859', '97943', '50188']","['15390', '115934', '115974', '57182', '115935', '115975', '115957']",
193020,39,Premier League,746,Sunderland,41,Southampton,1,1,2,1,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19284', '19609', '19660', '1477', '18845', '19899', '15382', '2859', '1758', '19488', '18857']","['50228', '19481', '114744', '19297', '113744', '51146', '19700']",,"['114750', '18944', '2675', '18936', '18862', '162', '181', '2938', '304', '18956', '12765']","['30536', '1749', '49852', '90518', '158', '19480', '18941']",
710888,39,Premier League,51,Brighton,41,Southampton,2,1,2,2,,,,,Regular Season - 34,,5.0,0.0,7.0,1.0,8.0,3.0,12.0,6.0,2.0,0.49,1.0,,3.0,352.0,229.0,0.65,,5.0,6.0,9.0,9.0,18.0,7.0,7.0,6.0,3.0,0.51,0.0,,4.0,366.0,258.0,0.7,4-3-1-2,4-4-2,"['18959', '19265', '537', '18963', '47380', '6716', '1093', '116117', '1469', '1946', '19364']","['18973', '18970', '202086', '282254', '17715', '295', '18962', '129643', '18960']",,"['18932', '2999', '171', '158694', '47480', '18949', '18948', '2938', '231029', '18956', '19524']","['20600', '18945', '138822', '18946', '18942', '30476', '2275', '19484', '20557']",
194554,39,Premier League,746,Sunderland,50,Manchester City,0,0,1,0,,,,,Regular Season - 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['282', '45001', '114818', '87315', '20332', '19899', '87295', '19186', '292', '82011', '19429']","['1469', '18912', '115945', '70740', '19299', '19227', '44910']",,"['18908', '104129', '621', '83019', '90507', '42188', '19153', '114744', '296', '90493', '5982']","['49861', '634', '32906', '115944', '18818', '90516', '103165']",
193023,39,Premier League,33,Manchester United,60,West Brom,0,0,0,1,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['882', '892', '19242', '893', '894', '12753', '901', '531', '898', '37162', '50773']","['266', '119', '888', '2924', '90515', '19601', '899']",,"['19144', '19548', '90507', '1742', '19147', '19526', '19504', '44789', '19304', '19154', '3106']","['82017', '80957', '19210', '90511', '19556', '3389', '90522']",
1035155,39,Premier League,48,West Ham,65,Nottingham Forest,1,1,3,2,,,,,Regular Season - 12,1.8,6.0,4.0,8.0,8.0,16.0,6.0,9.0,9.0,1.0,0.54,2.0,,3.0,516.0,439.0,0.85,1.69,5.0,2.0,8.0,2.0,10.0,3.0,12.0,4.0,0.0,0.46,2.0,,3.0,438.0,356.0,0.81,4-2-3-1,4-3-3,"['253', '1231', '2726', '21694', '2284', '2869', '2938', '15911', '1243', '1646', '19428']","['18819', '18817', '18813', '2997', '18955', '1697', '261', '1445', '19361']",,"['557', '2771', '25916', '363695', '17365', '22149', '24882', '6056', '18746', '8598', '153430']","['275170', '18931', '18739', '163', '305', '19305', '138780', '50999', '2991']",
1035412,39,Premier League,48,West Ham,42,Arsenal,0,4,0,6,,,,,Regular Season - 24,0.22,1.0,0.0,2.0,3.0,5.0,4.0,17.0,2.0,2.0,0.3,4.0,,6.0,287.0,211.0,0.74,3.59,12.0,9.0,18.0,7.0,25.0,4.0,11.0,6.0,2.0,0.7,0.0,,1.0,692.0,646.0,0.93,4-2-3-1,4-3-3,"['253', '1231', '2726', '21694', '2284', '1243', '2869', '15911', '2938', '18823', '19428']","['19130', '1445', '18813', '327730', '18817', '665', '2997', '284409', '18955']",,"['19465', '19959', '22090', '22224', '61431', '37127', '2937', '978', '1460', '1946', '127769']","['1468', '1452', '727', '313236', '190', '2289', '20355', '284540', '309505']",
