game_id,minute,home_team_possession,away_team_possession
1729431,50,44.3,55.7
1729431,60,41.9,58.1
1729431,70,42.1,57.9
1729431,80,41.3,58.7
1729431,90,40.2,59.8
1729431,90+5,40.4,59.6
1729194,10,16.8,83.2
1729194,20,25.6,74.4
1729194,30,21.8,78.2
1729194,40,29.5,70.5
1729194,45+1,29.9,70.1
1729194,50,32.6,67.4
1729194,60,33.6,66.4
1729194,70,36.3,63.7
1729194,80,38.4,61.6
1729194,90,40.2,59.8
1729194,90+6,40.6,59.4
1729191,10,18.0,82.0
1729191,20,31.3,68.7
1729191,30,32.3,67.7
1729191,40,26.2,73.8
1729191,45+5,26.5,73.5
1729191,50,31.7,68.3
1729191,60,31.2,68.8
1729191,70,31.7,68.3
1729191,80,34.0,66.0
1729191,90,33.1,66.9
1729191,90+8,34.4,65.6
1640703,10,41.8,58.2
1640703,20,41.9,58.1
1640703,30,47.2,52.8
1640703,40,42.7,57.3
1640703,45+2,47.1,52.9
1640703,50,48.8,51.2
1640703,60,48.1,51.9
1640703,70,46.9,53.1
1640703,80,46.1,53.9
1640703,90,48.4,51.6
1640703,90+4,49.6,50.4
1640866,10,68.1,31.9
1640866,20,63.1,36.9
1640866,30,57.8,42.2
1640866,40,64.2,35.8
1640866,45+1,64.1,35.9
1640866,50,64.2,35.8
1640866,60,59.5,40.5
1640866,70,59.0,41.0
1640866,80,59.0,41.0
1640866,90,60.4,39.6
1640866,90+3,60.8,39.2
1729210,10,65.8,34.2
1729210,20,65.9,34.1
1729210,30,64.3,35.7
1729210,40,64.0,36.0
1729210,45+2,62.8,37.2
1729210,50,63.5,36.5
1729210,60,61.7,38.3
1729210,70,59.7,40.3
1729210,80,57.5,42.5
1729210,90,58.3,41.7
1729210,90+7,58.3,41.7
1729387,10,44.6,55.4
1729387,20,43.7,56.3
1729387,30,37.7,62.3
1729387,40,34.1,65.9
1729387,45+3,33.3,66.7
1729387,50,31.3,68.8
1729387,60,30.8,69.2
1729387,70,33.0,67.0
1729387,80,34.7,65.3
1729387,90,35.6,64.4
1729387,90+6,35.8,64.2
